ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1614458726701797380,2023-01-15_12:05:30,"このあと20時からは🌟

🐰#ぺっころね　で青鬼並走🐶

数年前にクリアした青鬼
なんとなく覚えてるけど細かい所は…🤔

過去の記憶でどちらが先にクリアするか
勝負ぺこおおおおおおおおお🔥

▽待機所▽
https://t.co/mjKrgvHJkw https://t.co/yFNKaNE6Fg","どうしてなんだい、どうして君は青いんだい。
ぺこーらも青いけど…ころねも青くなれるよ！
ほわんほわんほわん…
ほら～生まれたときを思い出したらおしりも青かった。
でも、ぺこらのほうがやっぱり青い。 "
1614200627059634176,2023-01-14_18:59:54,"このあと21時からは🌟

🎁ホロメンに１万円渡したら何を買ってきてくれる？🎁

てなわけでホロメンにお願いして
1万分のなにかを買ってきてもらいました‼️

数、種類は自由！
はたしてネタなのかガチなのか…

なにをもらえるぺこなんだろう😊💖

▽待機所▽
https://t.co/vgK04VrJ82 https://t.co/kdZxNwNqEn","1万円って千円札が10枚。
なんでも買えちゃうよ？だって1万円だよ？
みんなだったら何を買う？
ぺこーらは～そうだなあ。1万円で今買いたいものっていったらちいかわグッズが欲しいかもしれない。最近うさぎやモモンガのぬいぐるみを手にしたがかわいい。
やっぱ女の子はかわいいものが好きなの！！！ "
1613853337568579586,2023-01-13_19:59:54,"このあと21時からは🌟

⛏ Minecraft エンドラ倒すまでRTA ⛏

久しぶりのマイクラ💓
リハビリにエンドラ倒すぞ！！！！！

マイクラのプロと呼ばれていたかもしれないぺこーらにかかったらちょちょいのちょいよ😉

Ver1.7.10でやるぺこ👍

▽待機所▽
https://t.co/oewo07EmdP https://t.co/HcswOSL1H4","何回きみを倒したかな？
もうわからないや…本当は昔のバージョンで楽々と倒したかったところ…
クラッシュが起きるぺこだから仕方ない。最新バージョンの君を倒すとしよう。
どんな君でも必ず倒して見せる…
そう夜が明けようともね・・・・

いざ、まいる！！！！！！ "
1613475900699602944,2023-01-12_19:00:06,"本編終了後22時15分からは🌟

✨🎤メンバー限定アンコールLIVE🎤✨

本編LIVE後に
メン限でアンコールがあるぺこ💖

ぺこーらの激カワ新衣装で歌って踊るよおおおおおおおおおおおおおおおおおおおおおおお‼️‼️
サムネはまだ秘密🤭

▽待機所▽
https://t.co/UT6uss2uE0 https://t.co/rywmpjzVuV",
1613298456281464836,2023-01-12_07:15:00,"本日21時からは🌟

🎉🎂 兎田ぺこら生誕祭LIVE 🎂🎉

なななんと！
今日は3D新衣装お披露目☺️

超絶可愛いから絶対観てぺこな💖

ゲストのみんなともいっぱい歌って踊りました‼️
最高に盛り上がってお祝いしよ✨✨
＃兎田ぺこら生誕祭LIVE2023

▽待機所▽
https://t.co/MxfEYqkmcC https://t.co/ol575oYUwW",(〃òɷó〃)ﾄﾞｷﾄﾞｷ（この顔文字かわいい） 
1613126323605757952,2023-01-11_19:51:00,"このあと23時30分からは🌟

✨🎂 誕生日カウントダウン 🎂✨

明日は1/12…
みんな何の日か分かるぺこか！？

そう！ぺこーらの誕生日☺️

今年もみんなと迎えたいぺこ！！！

▽待機所▽
https://t.co/kr2wJevzoY https://t.co/O6QQ6AJavF","今年もみんなと一緒に誕生日をカウントダウンできて幸せです！
こういうお祝い事の時に一緒に感情を共有できること素晴らしいと思います。
みんな、日々忙しいのにいつもぺこらに会いに来てくれてありぺこ。
ぜひ、知らない人も一緒に祝ってください。
それでは誕生日まで１０、９、８… "
1612396004028092419,2023-01-09_19:28:58,"このあと22時からは🌟

📍GeoGuessr📍

ここはどこ…😭
地球のどこかに飛ばされてしまったぺこーら

その場所を当てろっちゅーゲームぺこ‼️

みんなでぺこらんどに帰るぞおおお👊

▽待機所▽
https://t.co/jV7YN2Bz6Y https://t.co/JjCARxCd1M","急に目が覚めたらここは…

私は16歳JK、兎田ぺこら。
毎日変わらない日常に飽き飽きしてた。
あぁ～神様。なんーか楽しいことないの？
どっか知らない場所にでも行ってみたいな～

その時、一筋の光が流れた…

きゃっ！！！まぶしいい…
目を開けるとそこには… "
1612036897001570305,2023-01-08_19:42:01,"このあと21時からは🌟

💖🥕 重大告知 🥕💖

どんだけするねん！
というツッコミは抑えよ🐰

ここ最近嬉しいことが起こりすぎて
自分でもビックリしているぺこーら😳

みんな、今回も懲りずに期待しといてくれぺこ！！！！！！！！！！！！！！！

▽待機所▽
https://t.co/1PVdctvSKj https://t.co/t6EOvNwobU","3度目の正直って言葉があるように、三度目の重大告知があってもいいよね？
兎田ぺこらは3回目はなにを告知するんだい？
みんなが喜ぶものだよね？そうじゃなかったらとんでもないよ？！
みんなはまたか～って気持ちで来てくれてるかもしれないんだよ！？
わかりました。今から告知しまああああああす！ "
1611656755364388864,2023-01-07_18:31:28,"このあと21時からは🌟

🐰つぐのひ 忌み夜の喰霊品店🐰

いつまでも正月気分のやつは誰だ！？
もう正月は終わったぺこなの！
そうぺこでしょ！？

てなわけで「つぐのひ」新作
今日はホラゲーで夜を過ごすぺこ😤🎶

▽待機所▽
https://t.co/R3TyjXtKrQ https://t.co/8N2tSqY1kN","てくてくててく…
お正月にお餅やおせちを食べ過ぎて御飯がなくなっちゃった…
うわ～めんどくさいけど買い出しにいくか…
けど、ぺこらの家の近くのスーパーなんか変なんだよな。
寒いし、行きたくないけど、行くしかねか…
ちょっくらもう１つお正月分の食料買いに行ってくるわ！！！！！！！！！ "
1611513068999131142,2023-01-07_09:00:30,"このあと15時30分からは🌟

🏎 #ホロお正月CUP2023 🏎

Cグループ、兎田ぺこらいきます！！
やるなら目指すは優勝しかない😤

みんな応援頼むぺこ👊💖

▽待機所▽
https://t.co/PEFPTqitjs https://t.co/mze0Epgrmg","緊張がやばいやばいやばいやばいやばいやばい！！！！！
つよ杯めざして突っ走るのみ！！！
ブレーキはもう踏まねえ。
ゴールまで暴走兎いくぺこだああああ！！！！
応援よろぺこ！！！！！！！！！！！！！！！！ "
1611301900078702593,2023-01-06_19:01:24,"このあと21時からは🌟

🏎マリオカート8DX １位耐久🏎

明日はお正月CUP✨✨
もう練習するしかねぇぺこだろ！！！

こんなときは1位耐久😤

上手くなるぞ～～～～～‼️

▽待機所▽
https://t.co/fBrbbnXKsn https://t.co/1ZCoqJ1JNG","ぶんぶんぶううううううん！！
ぺこら暴走車が走るぺこおおおお！！どけどけどけどけえええええええ！！！！
ついに明日はお正月CUP当日。
前日に君は何をする？
ぺこーら走るに決まってんだろう。
Cグループの人たちに絶対に負けない！
上等じゃねえか。やってやるよ。
これが暴走兎の恐ろしさや！！ "
1610597764643319808,2023-01-04_20:23:25,"RT @usadapekora: このあと21時からは🌟

💖一致するまで終われまテン!!💖

ゲーマーズ×3期生で初コラボ✨

全員の答えが一致しないと終われない！？
この8人ならきっと…大丈夫ぺこだよね？😳

例）3文字の果物を答えなさい
バナナ

▽待機所▽
https:…",
1610476502667399169,2023-01-04_12:21:34,"このあと21時からは🌟

💖一致するまで終われまテン!!💖

ゲーマーズ×3期生で初コラボ✨

全員の答えが一致しないと終われない！？
この8人ならきっと…大丈夫ぺこだよね？😳

例）3文字の果物を答えなさい
バナナ

▽待機所▽
https://t.co/Yhqb38xlHT https://t.co/twq2b9XDLZ","今日という日がやっときた。
どうしよう、ゲロりそう。　
いろいろな意味で伝説級。
ころねの思考はわからない。
だけどぺこらは頭脳明晰、
8人の思考もお見通し。
あれ？8人ってぺこらも？
上等じゃねえか！！！！！ "
1610101075805360130,2023-01-03_11:29:45,"本日22時からは🌟

🏆 FGO 福袋＆ギルガメッシュ宝具5ガチャ 🏆

ギル様ピックアップきｔらあああああ！！！

この時をどれだけ待ち望んだことか…！
必ず最強のギル様をカルデアにお迎えするぺこ😊

お正月から我慢し続けた福袋も引く‼️
楽しみ楽しみ楽しみ✨✨

▽待機所▽
https://t.co/fOam0klBhv https://t.co/qD5n9cEO6s","運よ、大暴走せよ！！！！！
許そう、今年は兎年！ぺこーらの年ぺこ！
ギル様5枚抜きいきます！！！！
神引きを絶対にして見せる！！！そしてカルデアでギル様とワイワイ生活や！！！！！
福袋はどうしようかな～
ん～～～～～～。どうしようかな～～～～！！！
見てからきめっか！！！！！ "
1609838368296423425,2023-01-02_18:05:51,"RT @usadapekora: 本日21時からは🌟

🎍新春ホロライブゆびをふる大会🎍

使える技は「ゆびをふる」のみ。

なにがでるかは運次第✨✨
今年の幸運娘は誰ぺこなんだああああああああああああああああああああああああああああ！！！！！！
＃ホロゆびをふる

▽待機所▽…",
1609685906201448460,2023-01-02_08:00:01,"本日21時からは🌟

🎍新春ホロライブゆびをふる大会🎍

使える技は「ゆびをふる」のみ。

なにがでるかは運次第✨✨
今年の幸運娘は誰ぺこなんだああああああああああああああああああああああああああああ！！！！！！
＃ホロゆびをふる

▽待機所▽
https://t.co/Pjhtkul6OX https://t.co/tKe2lc39iL","幸運娘はだれだあああああああああああああ！！！！！！
今日ここに決まる！！！！！！！！！！！！！！ "
1609483464478445568,2023-01-01_18:35:35,"RT @usadapekora: このあと19時より…

#全人類兎化計画 を遂行する‼️

ぺーこぺこぺこぺこぺこぺこ！！！！！ぺーこぺこぺこぺこ！！！！！！！！！ぺーこぺこぺこぺこぺこぺこぺこぺこぺぺこぺこぺこ！！！！！！！！！！！！

▽待機所▽
https://t.co…",
