ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1517090531587031040,2022-04-21_19:39:03,"このあと21時からは🌟

🍖グラブル光古戦場🍖

はじめての古戦場きｔらああああ‼️
今回はやる気しかない‼️

ホロ団がんばって本戦行くぞおおお‼️
８万位も行くぞおおおおおおお‼️

ぺこら、肉がすき。

▽待機所▽
https://t.co/23g7ofaxmv https://t.co/c0V8JrXl8G","いくぞ！！！
ついに光古戦場だああああ！
逃げるな…古戦場から逃げるな…
前までのぺこーらだったらなんか言ってるわ～くらいだった。
だけども、もう意味を知ってしまった。
逃げられない。いや逃げたくない。
みんなで立ちむかおうよ！古戦場へ！
よし…絶対に本選行くのとランキング8万位狙うぺこ "
1516704587398672384,2022-04-20_18:05:27,"このあと20時からは🌟

👑ELDEN RING👑

前回ラダーン祭りを終焉させたぺこーら
この後どこへ行こうぺこか‼️

そろそろカッコいい防具も欲しいねぇ😎
今日も楽しんでいきましょか！！！

▽待機所▽
https://t.co/glQ1rt4riR https://t.co/5KCSgtoniX","強くなったチーカマぺこーらは、さらなる敵を見つけに今日も練り歩く。
まずは、ラダーンの城を隈なく探索し宝を根こそぎ持って帰ろう！
そしたらきっとルーンもがっぽがっぽ！
レベルもあげ倒せなかったやつも倒したい…
さぁ、今日も王様になる物語をはじめようか・・・ "
1516362455823577090,2022-04-19_19:25:56,"このあと21時からは🌟

🌳恐怖の森🌳

8年前大流行した伝説のホラゲー
恐怖の森 遊んでみるぺこおおおお‼️‼️

実はまさかの初見プレイ…
いける…ぺこだよね？😭

▽待機所▽
https://t.co/CGhirKNv26 https://t.co/lYd3x720D9","ヨシエさん…どうして顔だけになっちゃったの！？
顔面蒼白で心配だよ！
頼む、追いかけてこないでくれ…
ほしいものならなんでもあげる！
クリームパン食べる？めっちゃ人気で買えないらしいよ！！！
これを食べてもう人を襲うのはやめよう！
その後、ぺこーらを見たものは… "
1515993463535575042,2022-04-18_18:59:42,"このあと20時からは🌟

🌱Minecraft🌱

もう判決に怯えながら暮らすのは嫌だ‼️

風の噂で裁判官の名前は知った…
勝つためならなんでもする😎

まずは心象をよくするぺこ✨✨

▽待機所▽
https://t.co/qEyF6IvsgW https://t.co/gSwKShLJWo","スパイはどこにでもいる。
もしかしたら身近な人が本当はスパイなのかもしれない。
なんでおびえなきゃいけないんだ。
ただ無実なだけなのに,,,
裁判始めただからどうすればわからない。
心象ってどうやったらよくなるの？
教えて？ぺこーらに！
無実をこの手に！！！！！！！ "
1515537864125464578,2022-04-17_12:49:18,"このあと15時からは🌟

👑ELDEN RING👑

エルデンの時間だあああああ！！！

なにやら今日はデミゴッドの1人
ラダーンとやらと戦いそう…‼️

負けるわけにはいかぬ！！！
みんな出陣ぺこおおおおおおお😤

▽待機所▽
https://t.co/bUHnhENK4q https://t.co/rpmTVqxiP3","どんどん強敵が出てくる…いや待っている。
何度やられてもくじけない心で敵を討つ。
いっつもそうやってきた。
だけども今回に限ってはそうはいかないのかもしれない…
王になる。
この言葉はとても重たい。
体が押しつぶされてしまいそうだ…
だけども、大丈夫、みんながいるから…！！！！ "
1515250878860521483,2022-04-16_17:48:56,"このあとすぐ❣18時からは🌟

🎮ママにゲーム隠された２🎮

エルデンやりすぎた…
ママ…ごめんなさい…返して；；

みんな一緒に探してくれぺこおおおおおおおおおおおおおおおおおおおおおおおおおお‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/nkNlNHm7nT https://t.co/0hslM2IZzX","ままああああああああああああ！！！
なんで大好きなゲームを隠しちゃうんだ！！！
前も隠されたけどぺこーらはすべて見つけた…
今回は前回よりも難しいところに隠しているのかな？
ゲームの在り処の嗅覚が鋭いからすぐにみつけちゃったらごめんぺこな！
よ～しちゃっちゃとゲーム見つけてあーそぼ！ "
1514899411897548800,2022-04-15_18:32:19,"このあと21時からは🌟

👑ELDEN RING👑

無事魔術学院占拠完了。
最強の鎌をもった死神の次の行先は…

わからない！ならば各地を調べて
手がかりをさがすぞおおおお！✨

武器も魔法も更に強化したい🧙‍♀️

▽待機所▽
https://t.co/dVAoOlZb3h https://t.co/YdjNX9E27l","今日もぺこーらは王になるべく各地を歩き渡る。
人との出会いもあれば別れもある。
私と触れ合ったもの皆こういう。
でていけ！！！この死神！！！！
悲しいことばかりである。
ただ力を欲しただけなのに、どうして傷つけてしまうのだろうか。
あぁ、いとかなし。
けどこれも王の定め！！

PEEEKOOO！ "
1514177928283955204,2022-04-13_18:45:24,"このあと21時からは🌟

✉ヴァイオレット・エヴァーガーデン同時視聴✉

かつて同時視聴で号泣してしまったこのアニメ😭

早く観たいけどみんなと観たい…
そんななかついに劇場版が配信されたぺこ‼️

ほんとに楽しみにしてました✨✨
よかったら一緒観よう！

▽待機所▽
https://t.co/113CH5Ciji https://t.co/9tdlRW8KWm",
1513827574149185536,2022-04-12_19:33:13,"このあと21時からは🌟

👑ELDEN RING👑

前回魔術学院に入学したところ
学園長にボコボコされたぺこーら…

こんなんじゃダメや‼️

良い情報も入ったし
まずは各地を調べてみるぺこ✨✨
あわよくば学園占拠😎

▽待機所▽
https://t.co/YVrY6A35gc https://t.co/YRFx6j97Qr","学園長はやっぱつええわ。
そう簡単に倒せないよね。
初めての挫折かな…？
いや、ただ強化がちゃんとできていなかっただけ。
そう、本当の姿をまだぺこーらは見せていない。
それはみんなにも…
今日は特別に本当のぺこらを見せてあげる。
驚かないでね。。。
じゃあぺこーら王のおなーりいいいいー！ "
1513475249182220292,2022-04-11_20:13:13,"このあと21時からは🌟

👑ELDEN RING👑

昨日は秘められた魔法センスを発揮し
敵をなぎ倒したぺこーら

ついに魔術学院に入学するぺこ‼️

昨日レアドロした『アレ』も使いたくなってきたからみんなと相談したい☺️

▽待機所▽
https://t.co/KzkBKogGaa https://t.co/osk2KtIulT","パワーでねじ伏せるのも面白いが、遠くから魔法でちくちくいたぶるのも面白い。
近づけないほど最強ってわけ
魔法そして鎌この二つを手に入れたぺこーらはきっと出会う人にとっての神。いいや死神かな？
さぁ、今日も王様になるべくまずはこの魔法学校を占拠しましょうか。
さぁお偉いさんでてきなさい "
1513429141747474432,2022-04-11_17:10:00,"このあと１９時から🌟

🍳PEKO`sキッチンin麻薬卵🍴

めっちゃ流行ってるの見つけました！
今日の晩御飯はこれに決まり‼️

トロットロでやばいらしい…
みんな！白米持って集合じゃああああ🍚

▽待機所▽
https://t.co/sCpDzQovM3 https://t.co/YplSyZyAP5","久しぶりのPEKO’Sキッチン！
今日はなんとあの巷で噂の激うまトロトロ麻薬卵を作ってみるぺこ！！
この卵1個でご飯が何百杯もいけるらしい…！！！！
ゴクリっ
どんだけうめえ卵ぺこなんだ…
食わせろ。はやくくわせろ！！！！
ぺこーらがすべて食ってやる。
皆の者白米はもったか？！いざ夜ご飯！！！ "
1513036515999629313,2022-04-10_15:09:50,"このあと18時からは🌟

🐎ELDEN RING🐎

広大な世界に出た！！
と思ったらさっそく現れたツリーガード

そやつを乗り越えたぺこーらは強いで‼️

あとはもう広い世界が待ってる✨
囚人からの成り上がりぺこ‼️

▽待機所▽
https://t.co/E911w0D4SJ https://t.co/Skd1VbIRH8","昨日から始まったと思ってたぺこでしょ？
いいえ、始まっていませんでした。
今日からやっとエルデンリングが始まるのです。
王になるために様々なところに行き、むかつくやつをボコす。
反逆を起こそうとするものをボコす。
魔法でわからせる。
そう、囚人兎田ぺこらの王となる物語の始まり始まり…！ "
1512717370753941509,2022-04-09_18:01:40,"このあと20時からは🌟

👑ELDEN RING👑

王ってナニ！？
今日からはじまるエルデンリング‼️

職業みたいなやつたくさんあって楽しそうだねぇ✨

そしてフロムということは今回も難しいんじゃろう😇
でもぺこーらが王になるってワーケ💪

▽待機所▽
https://t.co/uM4b8lkDxJ https://t.co/jojJLYD3kJ","王様になれ・・・？
ふん、王などという肩書きに興味はないけれど、皆がそこまで言うなら仕方ない。
ぺこーらが王様になったら約束事がある
１、毎日ぺこーらの配信を見る
２、ぺこーらの言うことは絶対
３、1日3本生ニンジンを食べる

このこと守れるやつだけついてこい、
最強の王として君臨する… "
1512369461583843333,2022-04-08_18:59:12,"このあと21時からは🌟

🦇Vampire Survivors🦇

大型アプデきｔらああああああああああああああああああああああああああああああああああ✨✨

ついに来ました新ステージ❣
そして待望のルーントレーサーの進化
新キャラに新武器盛りだくさんぺこ🥳

▽待機所▽
https://t.co/pOHFSc0dEV https://t.co/vEKniVCGEe","またまたアプデ！？
どんだけアプデが続くんだ！！！！300円でこのいつまでも遊べる最高のゲーム！！！！
これはやらなきゃ損！おもろすぎてずっとアプデほちぃ。
がんばれがんばれ製作者さん！
ぺこーらは骨の髄まで遊びつくさせてもらうぺこ！
今日もヴぁんぺいあ！やるぺこ！！！！！！ "
1511659290456903683,2022-04-06_19:57:14,"このあと21時からは🌟

☎Minecraft☎

ついに被害者の方が現場に入られるそうで、やましいことはないけどまずは見守っておこうかな！？

ぺこーらっていつも巻き込まれてしまう…
くそっ！災難だ…！😭
それでもワタシはやってない。

▽待機所▽
https://t.co/XLCyUs4jBW https://t.co/i2VVpYflOl","たしかに日頃の行いは悪いのかもしれない。

どうして共犯だなんていわれなきゃいけないんだ！
私はやっていない！声を高らかにして言いたい。
だって共犯だって言った人はあの人だろ・・・？

おかしいんだ！ぺこらは平和なマイクラを願っている！
争いごとはやめようよ！
命がもったいない！！！ "
1511276494181781504,2022-04-05_18:36:09,"このあと20時からは🌟

☄地球滅亡60秒前!☄

皆さんは地球が60秒後に滅亡するとしたらなにをしますか？
ぺこーらは配信か家族と過ごします☺️

昨日たくさん頭を使ったから、今日は何も考えずに暴れようと思うぺこ‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/4hUcLpsbBZ https://t.co/OxNYpf2jcA","60秒…すなわち1分
この時間で何ができるのだろうか。
家を出るのにまず1分。
どうにか地球最後の日を笑って過ごしたい。
ぺこーらはそう思う。
みんなは最後の1分をどう過ごしますか？
家族と一緒に過ごす？それとも、いつもと変わらない日常を過ごす？
このポエムを打ってる最中にもう1分すぎてます "
1510932750865694721,2022-04-04_19:50:14,"このあと21時からは🌟

🎮There Is No Game🎮

ゲームじゃないゲーム！？
どういうことだってばよぺこ‼️

ぺこーらといったらゲーム好き…
そんなぺこちゃんに遊ばせないとはいい度胸だな！！！！！！！！！！！

調査にとりかかるぺこ😎

▽待機所▽
https://t.co/1cC6KC81v4 https://t.co/H6fnI9lzqf","ゲーム大好きぺこちゃんにゲームをやらせない
何言ってんだ。
それは猿も木から落ちないっていうことだよ？
ゲームをやらせてあげてください。
いや、もう強行突破するしかないのかな？
ぺこーらが無理やりゲームすればいいよね？
壊してしまおう、ゲームできない世界などいらない…
破壊の時はきた… "
1510584465789427719,2022-04-03_20:46:16,"このあと22時からは🌟

🔴Minecraft🔴

前回はすごい現場を目撃してしまったぺこーら
今日は被害者の方に
犯行動画を送ってみようと思います😳

大丈夫だよね？
一体どうなってしまうぺこなんだ‼️

▽待機所▽
https://t.co/E0DTyBn0Wq https://t.co/umq4WiO2rT","え！？？！
やばいよやばいよ！
そんなことっていいの！？これは天の災害…なのか・・？
わからない、まだエイプリルフールは続いてたってこと？それともこれはエイプリルフールじゃない・・・？
真実はこの動画を見ればわかる。
誰が何をどうしているのか。
そう悪は裁かれる。
もう、わかったよね？ "
1510139316202258434,2022-04-02_15:17:24,"このあと17時からは🌟

💉NEEDY GIRL OVERDOSE💉

メンヘラ彼女きｔら！！！！！！！

な～に～！？配信者になりたいだと！？
しかたねぇ！ぺこーらがお前をNo1にしてやる😤
まずはうさぎ跳び1000回じゃ！！

配信者というものを叩き込んでやるぺこ‼️

▽待機所▽
https://t.co/yCQZK2K9cV https://t.co/cjC9gGeciN","君もこっちの世界に来るんだね？
この世界はそう簡単に生きれないよ。
努力もしてもらう、ときには苦手なことにもチャレンジしてもらう。
それでも君はこの世界に来るんだね？
ならばよし、伝説の配信者兎田ぺこーらが直々に鍛えてやろう！
さぁともにNo１になりに行こう
レッツインターネットの世界へ "
1509527534118989834,2022-03-31_22:46:24,"24時から帰ってきた伝説の番組
【ぺこNEWS】
プレミア公開します🌟

今回はまさかの人も登場したり
ボリュームアップした
スペシャル版でお送りするぺこ❣

▽待機所▽
https://t.co/4y44UV1hEh https://t.co/95ByyttELW",
1509431602870632449,2022-03-31_16:25:12,"このあと20時からは🌟

🔴グラブル レジェフェスガチャ🔴

ついにきｔらあああああああああ‼️‼️
ガチャピンの無料分をスルーしてまで待ってたぺこ💪

残りの石じゃもう天井はできない…
これで欲しいやつ全部当てるぺこ😤

ナルメアいくぞ！！！！！！！！！！

▽待機所▽
https://t.co/qGjNlNDYnG https://t.co/v9Qow7wBkj","神様！久しぶりのガチャです。
今日この日まで、物欲という物欲を欲してこなかったです。
それは、今日ほしいキャラを手にするため。
お空から見てくれていましたか？ぺこーらの日々の行いを…
ひかせてください。
お願いします、ここにいるリスナーさんの運をすべてお渡ししますのでどうかどうか…！ "
1509153259390312453,2022-03-30_21:59:10,"このあと22時から！！！

🍄マリオカート８DX🍄

告知をするのを忘れてた！！！！！
久しぶりにみんなでマリカーだあああ！！！！

ぶんぶうううううううううううううううん🚙

▽待機所▽
https://t.co/4QOjlGlsR5 https://t.co/g0EB9QwLNX",
1509095370508607488,2022-03-30_18:09:08,"このあと19時からは🌟

🔥Minecraft🔥

さーて今日は久しぶりのマイクラ🎶
ホロ鯖の守護神が降臨するぺこ✨✨

え？もうすぐエイプリルフール！？
まぁ全然関係ないけどね
うん全然ぺこーらとは関係ない😃

▽待機所▽
https://t.co/Ph0h28aNJH https://t.co/XVr4IDu4En","も～え～ろ～！も～え～ろ～！
なにが燃えろとは言わないが～！

もうすぐ3月も終わって4月が始まる。
なんで四月の一発目ってエイプリルフールなんだろう。
少しでも冗談をいって場を和ませたいのかな？
わからない。
けどぺこーらも久しぶりになんだか楽しいこと思いついちゃった！えへへ！！！ "
1508399339089309698,2022-03-28_20:03:21,"このあと21時からは🌟

🔴大乱闘スマッシュブラザーズSP🔴

久しぶりのスマブラ✨✨

ファイナルラストファイター
兎田ぺこら3勝ガンバルゾ！！！！！！！！

しかも今日はなんとキングダムハーツ20周年！？
これは『ソラ』を使うしかないぺこ❣

▽待機所▽
https://t.co/vzMTNG8Pz1 https://t.co/QREUir1hCF","キングダムハーツ20周年おめでとうございます！！！！
ぺこーらは今日はソラを使っていこうと思う！かかってこい、スマブラ大好きな人たちよ！
君たちからぺこーらは３勝させてもらおう。
ふふふ、手加減？いらないよ。
本気の勝負ってわけよ…
なぁそうだろ？
まさかぺこーらにまけねえよな！！！！！ "
1508023636451786756,2022-03-27_19:10:27,"このあと21時からは🌟

メンバー限定で
『ドラえもん のび太と鉄人兵団』
観るぺこおおおおおおおおお✨✨

▽待機所▽
https://t.co/u4paYlTMPs https://t.co/Q7AQ8jjgTf",
1507695212415827970,2022-03-26_21:25:24,"このあと23時からは🌟

⭕️Portal⭕️

不朽の名作！！！！！！
超有名なこのゲームをクリア耐久で遊んでみようかなと思うぺこおおおおおおおおおお✨✨

みんな土曜だし夜更かししてもいいもんね‼️

頑張りましょう不屈の心で😃

▽待機所▽
https://t.co/DfIZtwsmyS https://t.co/r7O6WuaYPm","様々な穴がある。
そう、穴とは奥深い。
こっちの穴とそっちの穴がいっしょなのかい？
むむむ？
とりあえず通ってみる価値あり。
ホロライブの頭脳No１のぺこーらにかかればおちゃのこさいさい！
どんなゲームすぐにクリアしてしまう。
さぁ、土曜の夜を一緒に楽しもうじゃないか～！
レッツポータル！ "
1507311660239048707,2022-03-25_20:01:18,"このあと21時からは🌟

🚗マリオカート8DX🚗

新コースきｔらあああああああああああああああああ！！！！！！！！！！！！！！！！！！！！！

楽しみにしていた新コースをついに走るぺこ❣春休みキッズたち、お姉さんと一緒に走ろう☺️

▽待機所▽
https://t.co/r9UNTc9foH https://t.co/vpdlpEuBzx","新コースきｔらああ！！！！
マリオカート８DXは本当に息が長い。
もう何年このソフトで遊んでるぺこか？いやあ、まだまだ遊べるだなんて任天堂さんは本当にすごいや！
やっぱり任天堂さんってさすがだな～。
あ、まだ春休みを満喫してるキッズたちもまだいるかな？
よ～しちょっくら走ってくるか～！ "
1506939023570341891,2022-03-24_19:20:35,"このあと20時からは🌟

🍅Vampire Survivors🍅

新キャラ、新武器、新進化！！！！！
新要素たくさん来てるみたい✨✨

今日はまだ使ってない武器で殲滅したいぺこおおおおおおおおおおおおおおおおおおおおおお❣

わくわく！！！！！

▽待機所▽
https://t.co/AbUHngA3na https://t.co/tNCFHbELiv","ぺこーらはすごいんだぞ！！
色々できるんだぞ！！
ぺこーらを笑っているやつ見てろ！！
もうぺこーら以下ｗなんていわせない！
ぺこらは普通にすごい、強いといわせてやる！
まずは、一つのゲームを極めよう。
新たな武器、仲間。そしてできれば死神…
さぁ、こい！！！！
ぺこーらの手のひらに！！！ "
1506553480647159808,2022-03-23_17:48:34,"このあと20時からは🌟

☕閉店事件☕

店長～！締めやっときますね～！

コーヒーショップの締め作業なんて昔カフェでバイトしていたぺこーらにとっちゃお茶の子さいさいってワケ‼️

でもあれ…なんだかおかしい…あわｎ
ひいいいいいいいいいい！！！！！😱

▽待機所▽
https://t.co/cUbIeuKImV https://t.co/mTWJS5Z3RV","いらっしゃいませ～！ぺこーらは満面の笑みでお客様をお出迎えする。
ここはうさだぺこーらカフェ。
おしゃれな街にひっそりとあるちょっとレトロな秘密基地カフェ。
お客さんは個性豊かな人々ばかり…
今日も平和にお仕事終了！
そろそろ締めの作業にはいりますか～
まずは、片付け…それから。。。 "
1505867367431086081,2022-03-21_20:22:12,"このあと22時からは🌟

🔴190万人耐久スリザリオ🔴

ライブも大成功でハッピー✨✨
しかも190万人も間近！？！？！？

今日はミミズのチャンピオンになり
190万人も達成する‼️‼️‼️

やるぞ！やるぞ！やるぞー😊

▽待機所▽
https://t.co/rh9nfvJSu2 https://t.co/t9PsscP4cJ","みんな聞いてくれ！！！
もうすぐぺこら大好き人間たちが190万人に達しそう
これはすげえええぺこだああ！！！！
190万…
次は200万…
おい。
これとんでもないことではないのか！？
ぜひぺこーらの名前を知っているだけの人でも見に来てほしい。そしてぜひチャンネル登録よろしくお願いします。 "
1504764280285298693,2022-03-18_19:18:56,"このあと21時からは🌟

🍁SEKIRO🍁

前回の雰囲気からして…
多分…いや絶対最後の戦い…

ライブ前にクリアするぞ‼️
忍からアイドルに戻るぺこ！！！！！

▽待機所▽
https://t.co/FNIYREczE6 https://t.co/88MXds8O7H","ついにSEKIROも最終回…
よくここまで戦えました。
2年前比べてとっても成長していますね。
最後はどんな敵と戦うのだろうか。ここで挫けたらいけませんよ。
必ず日曜日はアイドルとして歌いたい。
ならば勝つしかない。
そう、PEKOROはどんな敵をも負かせます。
いざ、行こう葦名へ… "
1504422641389948928,2022-03-17_20:41:23,"このあと21時から🌟
『ドラえもん のび太のワンニャン時空伝』

一緒に観ようぺこ‼️‼️‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/DGDmlxuCP8 https://t.co/rpzjJuJpjx",
1504054313479708673,2022-03-16_20:17:46,"このあと21時からは🌟

🍁SEKIRO🍁

前回はまさかの人物「大忍び 梟」と邂逅…
親は絶対？知ったことか！！！！！

ぺこーらは九郎様を守るぺこ‼️
勝つぞおおおおおおおおおおおお😤

▽待機所▽
https://t.co/xjwdQalzWe https://t.co/UmAFoZVhdm","生きておられでしたか。
けど、あなたもまた竜胤の力に魅入られてしまったのですね。
悲しい、こんなにもあなたを尊敬していたのに、まさか裏切られるだなんて。
忍びの掟は大切だと言っていましたが、もう私は主しか信じない。
主を守ることそれが真の目的いや私がしたいことだったのだ。
戦え梟… "
1503987736382144514,2022-03-16_15:53:13,"このあと19時からは🌟

⚔ #FFオリジン 先行プレイ⚔

ノエールぼたんちゃんぺこーらの3人でマルチプレイぺこおおおおおおおおおお✨✨
今日は水のカオス「クラーケン」に挑みます‼️

配信中にキャンペーンのキーワードも発表するから要チェケ😎
#カオスを倒せ 

▽待機所▽
https://t.co/0C0hpSFLtS https://t.co/luoLu1v4GT","3人でぜったいにたおすぞおおおおおおお！！！！！！！！！！！

いくぺこ！！！ "
1503692154656665600,2022-03-15_20:18:41,"このあと21時からは🌟

🦖ARK LOST ISLAND🦖

みんなでボス戦！！！！！！！！
今回挑むのはβボス…
前回とは全然レベルが違うぺこ‼️

それでも買ってみせる😤😤😤
本番は22時からなのでまずは準備✨

▽待機所▽
https://t.co/CvMc3pn2el https://t.co/PobpLVvvr2","ボス！
この前よりもさらに強くなったってマ！？
けど大丈夫、きっと仲間たちが助けてくれる。
恐竜との絆もある。
私たちが負けることは０に等しい。
そう、絶対に勝つんだ。
いくよ、頑張るよ、命をかけてBOSSに挑むんだ！
これがホロライブの女たちの戦う姿。
しかと目に焼き尽くしてくれ！！！ "
1503297588933828610,2022-03-14_18:10:49,"このあと21時からは🌟

📦リスナーおすすめ商品レビュー📦

以前 ＃pekozon で募集したリスナーさんの気になる商品、おすすめ商品を購入してきたので今日はレビューしまくるぺこ✨✨

なにを買ってきたのかはお楽しみに😊

▽待機所▽
https://t.co/X4PjXSNk5g https://t.co/gffPgdrKTs","かっちゃった！かっちゃった！いろいろなもの！
普段は絶対に自分では買わないけど人からおすすめされたら…買うしかないぺこだよねええ！？
みんなからのおすすめ商品を評論家兎田ぺこらがレビューする！
さぁ、どんな商品がくるのか楽しみ楽しみ！
みんなもぜひ気になったものはお手に取ってみて！ "
1502946518932017152,2022-03-13_18:55:48,"このあと21時からは🌟

🍁SEKIRO🍁

前回はおっそろしい猿を撃破‼️

感じる…自分の成長を…
PEKOROのチカラはとどまることを知らないぺこだぜ！！！！！！！！！！！！！！

今日はどんな敵が待ってるんだい😳

▽待機所▽
https://t.co/6JgVSYWoEd https://t.co/BTOjczwzHO","どんどん力をつけてきたPEKORO！
猿のボスも倒し、次はどんなやつを成敗するばいいぺこか？
ぺこーらはチャキンチャキン使いのプロなので負けまへん。
いつでもかかってきてもろていいぺこです！
さぁ、葦名にいる化け物たちよ、かかってきなさい。
どんなものでもぶった切るそれがPEKOROのポリシー！ "
1502593948355010562,2022-03-12_19:34:48,"このあと22時からは🌟

🚴Food Delivery Service🚴

訳あってホロライブを追われたぺこーら

第二の兎生、配達員として稼ぐぺこ‼️

あれ…でもこの町なにかおかしい…
みっ、みんなぁ😭😭😭

▽待機所▽
https://t.co/IdQCeFENwG https://t.co/XLW9PCaeat","うーぺーいーつってやっぱりいつも使ってしまうよね！
だって楽だしいろいろなお店があるから飽きない！
やっぱりこのご時世楽だなって思う。
今日からぺこーらも配達員としてデビューするぺこ！
お客さんの笑顔がぺこーらの支えです。
日給どのくらい稼げるのかな。
今日はおいしいご飯にありつけるか "
1502228692738928642,2022-03-11_19:23:25,"このあと21時からは🌟

🍁SEKIRO🍁

SEKIROの時間だあああああああああああああああああああああああああああああ！！！！！！！！！！

チラっと聞いたけどクリアもそう遠くないってまじぺこか？😳
まずは前回敗れた猿から‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/rTYmkP8O3L https://t.co/nuRfoHS60t","いつまでも忘れられない,SEKIRO。
やめられない、止められない
もうすぐクリアも近いと聞いていたがあれはデマらしい。
そんな簡単にクリアさせてくれないよな？
きっとクリアした先の景色はとんでもなく気持ちよくそして美しいんだろうな！
チャキンチャキン娘ＰＥＫＯＲＯ今日もいくでがんす！！！ "
1501827158557474816,2022-03-10_16:47:51,"このあと19時からは🌟

⚔＃FFオリジン⚔

新作FFの先行プレイだあああああ❣
ぺこーらが挑戦するのは風のカオス「ティアマッド」
1時間以内に絶対討伐してみせるぺこ💪

配信の中でキャンペーンのキーワードを発表するのでぜひ見てね✨✨
#カオスを倒せ 

▽待機所▽
https://t.co/rhFhCUkNSy https://t.co/nOBrSwQ8mp","カオスそれは混沌。
なにがカオスなんだい？
きょうのぺこーらは1時間で風のカオスをたおさなきゃいけないらしい
しかも激強め。
はあーけどいまのぺこーらならたおせる。
そうだ今日はなんかこんなこと言いたい。
ぺこーらって激かわカオスだよね！
よーしちょっくら倒しに行くか！！！！ "
1501493334699044868,2022-03-09_18:41:22,"このあと21時からは🌟

♠世界のアソビ大全 対戦凸待ち♠

久しぶりの対戦凸待ち！！！！！
でもなんだか今日は怪しい予感がする…

久しぶりでも仕込みは一切なし‼️
誰か来てくれることを願うぺこ🥺

挑戦者を求ム！！！！！！！！！！

▽待機所▽
https://t.co/ICNKlXF6yH https://t.co/MUvuQYvy1n","今日は3月9日！
さんきゅーの日！日頃の感謝をみんなに伝えたい！
ありがとう！いつも応援してくれてさんきゅーな！
これからもよろぺこな！
あ、そういえば、最近一人でよくチャキチャキやってて人と遊んでないな…
寂しいな。誰かぺこーらと遊んでくれる人いないかな
チラ、チラチラ…
待ってます。 "
1501128733281099778,2022-03-08_18:32:34,"このあと20時からは🌟

🍁SEKIRO🍁

2年ぶりだなぁ…
まぼろしお蝶！！！！！！！！！！

ぺこーらの心を砕いたあんたに
今日終止符を打たせてもらうぺこ‼️

いくぞ！！！！！！！！！！！！！

▽待機所▽
https://t.co/DhMEMelxTL https://t.co/hJduNEJ29V","ついに会えたね。
因縁のお蝶さん2年ぶりでもずっと元気でタフで動きがはええぺこですな。
けどね、お蝶さんぺこーらがこの2年なにをやってたかわかる？
あなたを倒すために様々なゲームをやってきた。
どんなゲームにも挑戦してきた。
そう、すべてをあなたを倒すため。
もう言わせないよ子犬だなんて "
1500787045224304640,2022-03-07_19:54:49,"このあと21時からは🌟

🐰SEKIRO🐰

葦名弦一郎…
昨日はあとちょっとのところでまだ届かず…ボコされましたぺこ！！！！！！！！！！！

みんな、今日は勝つぞ‼️
弦ちゃんの先をぺこーらは行く💪✨

▽待機所▽
https://t.co/2CBYQqbLR9 https://t.co/Yj6Fd45gTd","意外とうまくね？ぺこちゃん
やはり2年の修行の成果が出ている気がする。
だけども…弦一郎、お前は相変わらずつええな。
過去に一度お前を負かしたのだから今日はサクッと倒させてもらうよ。
なぁ、げんちゃん。
許してくれ、先を行くぺこーらを許してくれ…
それじゃあ今日もSEKIROの世界へダーイブ "
1500395350120878080,2022-03-06_17:58:22,"このあと20時からは🌟

🐰SEKIRO🐰

昨日は2年の修行も虚しく回線負け

今日こそは！！！！！！！！
逃げないし逃がさないPEKORO‼️

みんな、準備はいいぺこか？

▽待機所▽
https://t.co/OcMER94zZp https://t.co/pBJNhItliZ","おい、逃げるなよ。
こっちの準備はもうできてんだぜ？
どうした？負けるのが怖いのか？なぁ、昨日はたしかにこっちの回線が怖気づいてしまったが、今日は違うぜ。
今日は、必ずSEKIROやってやるんだぜ。
なぁ、こいよ。
すべて斬ってやるよ！！！！！
かかってこい！！！！！！！！！！SEKIRO！！！！ "
1500033374974476288,2022-03-05_18:00:00,"このあと22時からは🌟

🐰SEKIRO🐰

逃げるなと言われ続けて はや二年

今回は0から、必ずやクリアしてみせるぺこ‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️

PEKORO行きます。

▽待機所▽
https://t.co/bDmM7VLBCi https://t.co/Qq3aJRCXr7","逃げのぺこらと言われ続けた。
SEKIROから逃げるな、と何度も何度も言われた。
色々なゲームを始めるたびに言われた。
べ、べつに逃げたわけじゃない…いずれクリアする気だっただけで逃げてない。
そうだろう？
今日、今まで逃げたといってきたやつにぎゃふんといわせる！
ぺこちゃんは逃げへんで～！ "
